"scope","sensitivity","variable","variable_label","n","pearson_raw","pearson_log10_pfoa","spearman"
"West Coast pooled","All monitored tracts","total_population","Total population","217","-0.0763365439503015","-0.0755275109760367","-0.046931158545237"
"California","State-specific","total_population","Total population","196","-0.0743117287733382","-0.063067025343972","-0.0158142488054326"
"Oregon","State-specific","total_population","Total population","7","-0.448525165376763","0.0128287984262154","-0.29649972666444"
"Washington","State-specific","total_population","Total population","14","-0.297942072102438","-0.435815940257777","-0.496143838567092"
"West Coast pooled","One-PFOA-observation tracts only","total_population","Total population","7","-0.0519172685980468","0.346896332195837","0"
"West Coast pooled","Within-state demeaned","total_population","Total population","217","-0.0764829773370801",,
"West Coast pooled","All monitored tracts","people_of_color_pct","People of color (%)","208","-0.0322710370640051","-0.000348313316618944","-0.0143732402521375"
"California","State-specific","people_of_color_pct","People of color (%)","188","-0.04040693789531","-0.0232883314964381","-0.0487144389721146"
"Oregon","State-specific","people_of_color_pct","People of color (%)","7","0.097518472352504","0.335132159714708","0.370624658330551"
"Washington","State-specific","people_of_color_pct","People of color (%)","13","0.453225371747335","0.395843518825838","0.457934954989049"
"West Coast pooled","One-PFOA-observation tracts only","people_of_color_pct","People of color (%)","7","-0.11395245212106","0.224562642726394","0.333562192497496"
"West Coast pooled","Within-state demeaned","people_of_color_pct","People of color (%)","208","-0.0344721557559309",,
"West Coast pooled","All monitored tracts","white_non_hispanic_pct","White, non-Hispanic (%)","208","0.0322710370640051","0.000348313316619032","0.0143732402521375"
"California","State-specific","white_non_hispanic_pct","White, non-Hispanic (%)","188","0.04040693789531","0.0232883314964382","0.0487144389721146"
"Oregon","State-specific","white_non_hispanic_pct","White, non-Hispanic (%)","7","-0.097518472352504","-0.335132159714708","-0.370624658330551"
"Washington","State-specific","white_non_hispanic_pct","White, non-Hispanic (%)","13","-0.453225371747334","-0.395843518825838","-0.457934954989049"
"West Coast pooled","One-PFOA-observation tracts only","white_non_hispanic_pct","White, non-Hispanic (%)","7","0.11395245212106","-0.224562642726394","-0.333562192497496"
"West Coast pooled","Within-state demeaned","white_non_hispanic_pct","White, non-Hispanic (%)","208","0.0344721557559309",,
"West Coast pooled","All monitored tracts","black_non_hispanic_pct","Black, non-Hispanic (%)","208","0.0283822689194089","0.142323107177975","0.147032965634217"
"California","State-specific","black_non_hispanic_pct","Black, non-Hispanic (%)","188","0.0235348566100048","0.110300988244901","0.0665924476822272"
"Oregon","State-specific","black_non_hispanic_pct","Black, non-Hispanic (%)","7","0.410977927677712","0.666233491922744","0.5"
"Washington","State-specific","black_non_hispanic_pct","Black, non-Hispanic (%)","13","0.612852745513081","0.623902379578793","0.60966039188301"
"West Coast pooled","One-PFOA-observation tracts only","black_non_hispanic_pct","Black, non-Hispanic (%)","7","0.0327545101208872","0.53533894374421","0.384615384615385"
"West Coast pooled","Within-state demeaned","black_non_hispanic_pct","Black, non-Hispanic (%)","208","0.0283086644940729",,
"West Coast pooled","All monitored tracts","aian_non_hispanic_pct","American Indian/Alaska Native, non-Hispanic (%)","208","0.0611011852599531","0.213924161709333","0.148994685271125"
"California","State-specific","aian_non_hispanic_pct","American Indian/Alaska Native, non-Hispanic (%)","188","0.0545845690473104","0.200850002185901","0.0943363241661644"
"Oregon","State-specific","aian_non_hispanic_pct","American Indian/Alaska Native, non-Hispanic (%)","7","0.25615677127951","0.345752622160251","0.22438727760203"
"Washington","State-specific","aian_non_hispanic_pct","American Indian/Alaska Native, non-Hispanic (%)","13","0.925405903164449","0.675725562218625","0.686902432483573"
"West Coast pooled","One-PFOA-observation tracts only","aian_non_hispanic_pct","American Indian/Alaska Native, non-Hispanic (%)","7","0.604231489613524","0.480908628033604","0.22438727760203"
"West Coast pooled","Within-state demeaned","aian_non_hispanic_pct","American Indian/Alaska Native, non-Hispanic (%)","208","0.0612205196857252",,
"West Coast pooled","All monitored tracts","asian_non_hispanic_pct","Asian, non-Hispanic (%)","208","-0.0439377408952061","-0.0358055277929787","0.0864209939202767"
"California","State-specific","asian_non_hispanic_pct","Asian, non-Hispanic (%)","188","-0.0446175818960438","-0.0227165030046684","0.0879130527588624"
"Oregon","State-specific","asian_non_hispanic_pct","Asian, non-Hispanic (%)","7","-0.218109609939396","0.0562842139208725","-0.115384615384615"
"Washington","State-specific","asian_non_hispanic_pct","Asian, non-Hispanic (%)","13","-0.0610038917746966","-0.193167955644654","0.0579315304504218"
"West Coast pooled","One-PFOA-observation tracts only","asian_non_hispanic_pct","Asian, non-Hispanic (%)","7","-0.312504814931434","0.100769491917542","0.115384615384615"
"West Coast pooled","Within-state demeaned","asian_non_hispanic_pct","Asian, non-Hispanic (%)","208","-0.0445809600467685",,
"West Coast pooled","All monitored tracts","nhpi_non_hispanic_pct","Native Hawaiian/Pacific Islander, non-Hispanic (%)","208","0.0543983206500606","0.2531666756679","0.085752037427873"
"California","State-specific","nhpi_non_hispanic_pct","Native Hawaiian/Pacific Islander, non-Hispanic (%)","188","0.0584287031683773","0.227846469274858","0.0447401805025541"
"Oregon","State-specific","nhpi_non_hispanic_pct","Native Hawaiian/Pacific Islander, non-Hispanic (%)","7","0.690181178731844","0.675080856190852","0.693375245281536"
"Washington","State-specific","nhpi_non_hispanic_pct","Native Hawaiian/Pacific Islander, non-Hispanic (%)","13","-0.152184091111776","0.0702669962889734","-0.122668199379056"
"West Coast pooled","One-PFOA-observation tracts only","nhpi_non_hispanic_pct","Native Hawaiian/Pacific Islander, non-Hispanic (%)","7","0.0717773075238938","0.530615499985708","0.423659272868162"
"West Coast pooled","Within-state demeaned","nhpi_non_hispanic_pct","Native Hawaiian/Pacific Islander, non-Hispanic (%)","208","0.0550176523066001",,
