"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"1","06073018700","06","California","073","018700","Marine Corps Base Camp Pendleton (South)","Military","Groundwater","2014","-117.320512","33.317842","24",,,"24","40415","21336","52.7922800940245","47.2077199059755","7.19039960410739","1.29654831127057","6.0695286403563","0.358777681553879","1.17035754051713","4.74823704070271","31.9584312755165","67156"
"2","06071980200","06","California","071","980200","George Air Force Base","Military","Groundwater","2015","-117.371395","34.589059","5210","1690","17090","17090","4161","3471","83.4174477289113","16.5825522710887","24.6094688776736","4.42201393895698","3.0761836097092","0.264359528959385","0","0","51.0454217736121",
"3","06047001501","06","California","047","001501","Merced Muni Airport","Airport","Groundwater","2016","-120.515417","37.288328",,,"1","1","2815","2574","91.4387211367673","8.56127886323268","3.97868561278863","6.28774422735346","9.30728241563055","1.6696269982238","0.390763765541741","2.69982238010657","67.1047957371226","80625"
"4","06053011400","06","California","053","011400","Fort Hunter Liggett","Military","Groundwater","2016","-121.23129","36.003606",,"120",,"120","4951","2030","41.0018178145829","58.9981821854171","0.30296909715209","1.21187638860836","1.59563724500101","0","1.27247020803878","4.94849525348414","31.6703696222985","101750"
"5","06071012002","06","California","071","012002","Marine Corps Logistics Base Barstow","Military","Groundwater","2016","-116.954392","34.875791",,,,"138","5361","4240","79.0897220667786","20.9102779332214","22.4398433128148","1.93993657899646","4.14101846670397","0","0.559597090095131","6.65920537213206","43.3501212460362","44798"
"6","06095253300","06","California","095","253300","Naval Support Activity Monterey - Naval Radio Transmitter Facility Dixon","Military","Groundwater","2016","-121.775444","38.384953",,,,"260","3680","1845","50.1358695652174","49.8641304347826","2.96195652173913","0.0815217391304348","1.84782608695652","0","1.03260869565217","5.89673913043478","38.3152173913044","103131"
"7","06071010402","06","California","071","010402","Marine Corps Air Ground Combat Center Twentynine Palms","Military","Groundwater","2016","-116.054128","34.224752",,,,"440","11067","5804","52.4442034878467","47.5557965121533","6.97569350320773","0.424686003433631","2.95473027920846","0.822264389626818","0.11746634137526","6.27089545495618","34.8784675160387","66491"
"8","06059052439","06","California","059","052439","El Toro Marine Corps Air Station","Military","Groundwater","2016","-117.727791","33.66552",,,"102","3826","13687","10102","73.8072623657485","26.1927376342515","0.635639658069701","0.116899247461094","56.7618908453277","0.0876744355958208","0","6.24680353620224","9.95835464309198","174088"
"9","06065046700","06","California","065","046700","March Air Force Base","Military","Groundwater","2016","-117.261733","33.890884",,,,"9666","4388","3684","83.9562443026436","16.0437556973564","10.3008204193254","0","8.40929808568824","0","0.455788514129444","5.99361896080219","58.7967183226983","55476"
"10","06075017903","06","California","075","017903","Naval Station Treasure Island","Military","Groundwater","2016","-122.371174","37.817377",,,,"10750","2429","1719","70.7698641416221","29.2301358583779","17.6615891313298","0","6.17538081515027","0","1.35858377933306","13.5446685878963","32.0296418279127","93269"
"11","06115040902","06","California","115","040902","Beale Air Force Base","Military","Groundwater","2016","-121.359881","39.111504","3100","7100","12600","12600","2242","1039","46.342551293488","53.657448706512","13.3809099018733","0.178412132024978","3.74665477252453","0","0","15.3880463871543","13.6485280999108","60122"
"12","06001428700","06","California","001","428700","Naval Air Station Alameda","Military","Groundwater","2016","-122.312679","37.78274",,,,"336000","5600","4307","76.9107142857143","23.0892857142857","13.1785714285714","0","40.5892857142857","1.625","0.375","5.57142857142857","15.5714285714286","191528"
"13","06037980028","06","California","037","980028","Los Angeles World Airports - Lawa Terminal Two Fuel Hydrant Facility","Airport","Groundwater","2018","-118.404851","33.947116","480","930",,"1330","0","0",,,,,,,,,,
"14","06073011300","06","California","073","011300","Naval Air Station North Island","Military","Groundwater","2018","-117.183048","32.699704","1989","122",,"1989","2304","1245","54.0364583333333","45.9635416666667","13.0642361111111","0.260416666666667","7.72569444444444","1.99652777777778","0","3.21180555555556","27.7777777777778","111397"
"15","06073009400","06","California","073","009400","North Miramar Landfill","Landfill","Groundwater","2018","-117.150802","32.84215","1300","26","3141","3141","4394","2553","58.1019572143832","41.8980427856168","16.0901228948566","0.864815657715066","3.25443786982249","0.318616294947656","0.227583067819754","6.16750113791534","31.1788802913063","89893"
"16","06037123301","06","California","037","123301","Hewitt Landfill","Landfill","Groundwater","2018","-118.396711","34.204876",,,"3548","3548","3842","2757","71.7595002602811","28.2404997397189","4.97136907860489","0","25.0390421655388","0","0.780843310775638","3.0192608016658","37.948984903696","71250"
"17","06037980028","06","California","037","980028","Los Angeles World Airports - National Car Rental (Former Avis)","Airport","Groundwater","2017","-118.387276","33.950748","430","1900","5330","5330","0","0",,,,,,,,,,
