"tract_geoid","state_fips","compound","average_concentration","observation_count","station_count"
"06073018700","06","PFOA","24","2","2"
"06073018700","06","REPORTED_PFAS_LEVEL","24","2","2"
"06071980200","06","PFOA","5210","2","2"
"06071980200","06","PFOS","1690","2","2"
"06071980200","06","TOTAL_PFAS","17090","2","2"
"06071980200","06","REPORTED_PFAS_LEVEL","17090","2","2"
"06047001501","06","TOTAL_PFAS","1","2","2"
"06047001501","06","REPORTED_PFAS_LEVEL","1","2","2"
"06053011400","06","PFOS","120","2","4"
"06053011400","06","TOTAL_PFAS","2","2","4"
"06053011400","06","REPORTED_PFAS_LEVEL","61","4","4"
"06071012002","06","REPORTED_PFAS_LEVEL","138","2","2"
"06095253300","06","REPORTED_PFAS_LEVEL","260","2","2"
"06071010402","06","REPORTED_PFAS_LEVEL","440","2","2"
"06059052439","06","TOTAL_PFAS","102","2","2"
"06059052439","06","REPORTED_PFAS_LEVEL","3826","2","2"
"06065046700","06","REPORTED_PFAS_LEVEL","9666","2","2"
"06075017903","06","REPORTED_PFAS_LEVEL","10750","2","2"
"06115040902","06","PFOA","3100","2","2"
"06115040902","06","PFOS","7100","2","2"
"06115040902","06","TOTAL_PFAS","12600","2","2"
"06115040902","06","REPORTED_PFAS_LEVEL","12600","2","2"
"06001428700","06","REPORTED_PFAS_LEVEL","336000","2","2"
"06037980028","06","PFOA","10636.6666666667","6","6"
"06037980028","06","PFOS","1876.66666666667","6","6"
"06037980028","06","TOTAL_PFAS","67391","4","6"
"06037980028","06","REPORTED_PFAS_LEVEL","45370.6666666667","6","6"
"06073011300","06","PFOA","1989","2","2"
"06073011300","06","PFOS","122","2","2"
"06073011300","06","REPORTED_PFAS_LEVEL","1989","2","2"
"06073009400","06","PFOA","793.333333333333","6","6"
"06073009400","06","PFOS","54.6666666666667","6","6"
"06073009400","06","TOTAL_PFAS","4734.66666666667","6","6"
"06073009400","06","REPORTED_PFAS_LEVEL","4734.66666666667","6","6"
"06037123301","06","TOTAL_PFAS","3548","2","2"
"06037123301","06","REPORTED_PFAS_LEVEL","3548","2","2"
"06029005700","06","PFOA","17000","2","2"
"06029005700","06","PFOS","260000","2","2"
"06029005700","06","TOTAL_PFAS","300000","2","2"
"06029005700","06","REPORTED_PFAS_LEVEL","300000","2","2"
"06095980000","06","PFOA","140000","2","2"
"06095980000","06","PFOS","780000","2","2"
"06095980000","06","TOTAL_PFAS","833700","2","2"
"06095980000","06","REPORTED_PFAS_LEVEL","833700","2","2"
"06067008803","06","PFOA","11","2","4"
"06067008803","06","PFOS","8","2","4"
"06067008803","06","TOTAL_PFAS","41","2","4"
"06067008803","06","REPORTED_PFAS_LEVEL","455020.5","4","4"
"06047000503","06","PFOA","42300","2","2"
"06047000503","06","PFOS","2330000","2","2"
"06047000503","06","TOTAL_PFAS","2598770","2","2"
"06047000503","06","REPORTED_PFAS_LEVEL","2598770","2","2"
"06077005119","06","TOTAL_PFAS","44","2","2"
"06077005119","06","REPORTED_PFAS_LEVEL","44","2","2"
"06077005502","06","PFOA","3","2","2"
"06077005502","06","TOTAL_PFAS","46","2","2"
"06077005502","06","REPORTED_PFAS_LEVEL","46","2","2"
"06037267600","06","PFOA","19","2","2"
"06037267600","06","PFOS","2","2","2"
"06037267600","06","TOTAL_PFAS","66","2","2"
"06037267600","06","REPORTED_PFAS_LEVEL","66","2","2"
"06065043822","06","TOTAL_PFAS","82","2","2"
"06065043822","06","REPORTED_PFAS_LEVEL","82","2","2"
"06095250801","06","PFOA","124","2","2"
"06095250801","06","PFOS","78","2","2"
"06095250801","06","REPORTED_PFAS_LEVEL","124","2","2"
"06059075518","06","REPORTED_PFAS_LEVEL","770000","2","2"
"06111004305","06","REPORTED_PFAS_LEVEL","1080000","2","2"
"06029005300","06","REPORTED_PFAS_LEVEL","8000000","2","2"
"06001450102","06","TOTAL_PFAS","19","2","2"
"06001450102","06","REPORTED_PFAS_LEVEL","19","2","2"
"06071980100","06","PFOA","22","2","2"
"06071980100","06","PFOS","19","2","2"
"06071980100","06","REPORTED_PFAS_LEVEL","22","2","2"
"06037187102","06","PFOA","13.5","4","4"
"06037187102","06","PFOS","11","4","4"
"06037187102","06","TOTAL_PFAS","36","2","4"
"06037187102","06","REPORTED_PFAS_LEVEL","29.5","4","4"
"06059074403","06","PFOA","61","2","2"
"06059074403","06","PFOS","3","2","2"
"06059074403","06","TOTAL_PFAS","66","2","2"
"06059074403","06","REPORTED_PFAS_LEVEL","66","2","2"
"06071002709","06","PFOS","78","2","2"
"06071002709","06","TOTAL_PFAS","78","2","2"
"06071002709","06","REPORTED_PFAS_LEVEL","78","2","2"
"06035040600","06","PFOA","33","2","2"
"06035040600","06","TOTAL_PFAS","221","2","2"
"06035040600","06","REPORTED_PFAS_LEVEL","221","2","2"
"06067007301","06","REPORTED_PFAS_LEVEL","348","2","2"
"06059021832","06","TOTAL_PFAS","360","2","2"
"06059021832","06","REPORTED_PFAS_LEVEL","360","2","2"
"06059052430","06","TOTAL_PFAS","420","2","2"
"06059052430","06","REPORTED_PFAS_LEVEL","420","2","2"
"06065042007","06","PFOA","610","2","2"
"06065042007","06","PFOS","40","2","2"
"06065042007","06","TOTAL_PFAS","1449","2","2"
"06065042007","06","REPORTED_PFAS_LEVEL","1449","2","2"
"06037207400","06","PFOA","4","2","2"
"06037207400","06","TOTAL_PFAS","8","2","2"
"06037207400","06","REPORTED_PFAS_LEVEL","8","2","2"
"06019003104","06","PFOA","170","2","2"
"06019003104","06","TOTAL_PFAS","6470","2","2"
"06019003104","06","REPORTED_PFAS_LEVEL","6470","2","2"
"06083980200","06","PFOA","8200","2","2"
"06083980200","06","PFOS","150000","2","2"
"06083980200","06","TOTAL_PFAS","159300","2","2"
"06083980200","06","REPORTED_PFAS_LEVEL","159300","2","2"
"06065042401","06","PFOA","25","2","2"
"06065042401","06","TOTAL_PFAS","142","2","2"
"06065042401","06","REPORTED_PFAS_LEVEL","142","2","2"
"06059110015","06","PFOA","118","2","2"
"06059110015","06","PFOS","282","2","2"
"06059110015","06","TOTAL_PFAS","982","2","2"
"06059110015","06","REPORTED_PFAS_LEVEL","982","2","2"
"06027000200","06","TOTAL_PFAS","1","2","2"
"06027000200","06","REPORTED_PFAS_LEVEL","1","2","2"
"06025010500","06","TOTAL_PFAS","1","2","2"
"06025010500","06","REPORTED_PFAS_LEVEL","1","2","2"
"06025012400","06","PFOA","3","2","8"
"06025012400","06","PFOS","1","2","8"
"06025012400","06","TOTAL_PFAS","7.25","8","8"
"06025012400","06","REPORTED_PFAS_LEVEL","7.25","8","8"
"06071010300","06","PFOA","2","2","2"
"06071010300","06","TOTAL_PFAS","2","2","2"
"06071010300","06","REPORTED_PFAS_LEVEL","2","2","2"
"06081607400","06","TOTAL_PFAS","2","2","2"
"06081607400","06","REPORTED_PFAS_LEVEL","2","2","2"
"06071010700","06","PFOS","1","2","2"
"06071010700","06","TOTAL_PFAS","3","2","2"
"06071010700","06","REPORTED_PFAS_LEVEL","3","2","2"
"06059042205","06","PFOA","1","2","2"
"06059042205","06","PFOS","1","2","2"
"06059042205","06","TOTAL_PFAS","4","2","2"
"06059042205","06","REPORTED_PFAS_LEVEL","4","2","2"
"06025012301","06","PFOS","1.5","4","4"
"06025012301","06","TOTAL_PFAS","11","4","4"
"06025012301","06","REPORTED_PFAS_LEVEL","11","4","4"
"06041101100","06","TOTAL_PFAS","4","2","2"
"06041101100","06","REPORTED_PFAS_LEVEL","4","2","2"
"06081601000","06","PFOA","2","2","2"
"06081601000","06","PFOS","2","2","2"
"06081601000","06","TOTAL_PFAS","8","2","2"
"06081601000","06","REPORTED_PFAS_LEVEL","8","2","2"
"06065046900","06","PFOA","1","4","4"
"06065046900","06","TOTAL_PFAS","12.5","4","4"
"06065046900","06","REPORTED_PFAS_LEVEL","12.5","4","4"
"06025011901","06","PFOA","2","2","2"
"06025011901","06","TOTAL_PFAS","9","2","2"
"06025011901","06","REPORTED_PFAS_LEVEL","9","2","2"
"06071010024","06","PFOA","1","2","2"
"06071010024","06","PFOS","1","2","2"
"06071010024","06","TOTAL_PFAS","10","2","2"
"06071010024","06","REPORTED_PFAS_LEVEL","10","2","2"
"06039000203","06","PFOA","1","2","2"
"06039000203","06","TOTAL_PFAS","10","2","2"
"06039000203","06","REPORTED_PFAS_LEVEL","10","2","2"
"06029006004","06","TOTAL_PFAS","10","2","2"
"06029006004","06","REPORTED_PFAS_LEVEL","10","2","2"
"06053014800","06","PFOA","2","2","2"
"06053014800","06","PFOS","1","2","2"
"06053014800","06","TOTAL_PFAS","11","2","2"
"06053014800","06","REPORTED_PFAS_LEVEL","11","2","2"
"06031001200","06","PFOA","1","2","2"
"06031001200","06","TOTAL_PFAS","11","2","2"
"06031001200","06","REPORTED_PFAS_LEVEL","11","2","2"
"06063000100","06","PFOA","5","2","2"
"06063000100","06","PFOS","2","2","2"
"06063000100","06","TOTAL_PFAS","16","2","2"
"06063000100","06","REPORTED_PFAS_LEVEL","16","2","2"
"06025010101","06","PFOS","1","2","2"
"06025010101","06","TOTAL_PFAS","16","2","2"
"06025010101","06","REPORTED_PFAS_LEVEL","16","2","2"
"06037551102","06","PFOA","2","2","2"
"06037551102","06","PFOS","16","2","2"
"06037551102","06","REPORTED_PFAS_LEVEL","17","2","2"
"06029005600","06","PFOA","1","2","2"
"06029005600","06","TOTAL_PFAS","22","2","2"
"06029005600","06","REPORTED_PFAS_LEVEL","22","2","2"
"06089012702","06","TOTAL_PFAS","22","2","2"
"06089012702","06","REPORTED_PFAS_LEVEL","22","2","2"
"06107000902","06","TOTAL_PFAS","27","2","2"
"06107000902","06","REPORTED_PFAS_LEVEL","27","2","2"
"06037402403","06","PFOA","1","2","2"
"06037402403","06","TOTAL_PFAS","29","2","2"
"06037402403","06","REPORTED_PFAS_LEVEL","29","2","2"
"06067009307","06","PFOA","2","2","2"
"06067009307","06","TOTAL_PFAS","29","2","2"
"06067009307","06","REPORTED_PFAS_LEVEL","29","2","2"
"06073017403","06","TOTAL_PFAS","31","2","2"
"06073017403","06","REPORTED_PFAS_LEVEL","31","2","2"
"06037404402","06","PFOA","5502","4","4"
"06037404402","06","PFOS","1600001","4","4"
"06037404402","06","TOTAL_PFAS","1871816","4","4"
"06037404402","06","REPORTED_PFAS_LEVEL","1871816","4","4"
"06037408006","06","PFOA","1","2","2"
"06037408006","06","TOTAL_PFAS","33","2","2"
"06037408006","06","REPORTED_PFAS_LEVEL","33","2","2"
"06071009134","06","PFOA","5","2","2"
"06071009134","06","PFOS","2","2","2"
"06071009134","06","TOTAL_PFAS","35","2","2"
"06071009134","06","REPORTED_PFAS_LEVEL","35","2","2"
"06071011900","06","PFOA","4","2","2"
"06071011900","06","PFOS","2","2","2"
"06071011900","06","TOTAL_PFAS","36","2","2"
"06071011900","06","REPORTED_PFAS_LEVEL","36","2","2"
"06071010424","06","PFOA","20","2","2"
"06071010424","06","PFOS","2","2","2"
"06071010424","06","TOTAL_PFAS","39","2","2"
"06071010424","06","REPORTED_PFAS_LEVEL","39","2","2"
"06071011300","06","PFOA","17","2","2"
"06071011300","06","PFOS","4","2","2"
"06071011300","06","TOTAL_PFAS","46","2","2"
"06071011300","06","REPORTED_PFAS_LEVEL","46","2","2"
"06107002701","06","TOTAL_PFAS","73.5","4","4"
"06107002701","06","REPORTED_PFAS_LEVEL","73.5","4","4"
"06037104204","06","TOTAL_PFAS","52","2","2"
"06037104204","06","REPORTED_PFAS_LEVEL","52","2","2"
"06025011100","06","PFOA","8","2","2"
"06025011100","06","PFOS","13","2","2"
"06025011100","06","TOTAL_PFAS","57","2","2"
"06025011100","06","REPORTED_PFAS_LEVEL","57","2","2"
"06075980600","06","PFOA","21","2","2"
"06075980600","06","PFOS","38","2","2"
"06075980600","06","TOTAL_PFAS","59","2","2"
"06075980600","06","REPORTED_PFAS_LEVEL","59","2","2"
"06073019209","06","PFOA","15","2","2"
"06073019209","06","PFOS","4","2","2"
"06073019209","06","TOTAL_PFAS","63","2","2"
"06073019209","06","REPORTED_PFAS_LEVEL","63","2","2"
"06073019105","06","PFOA","11","2","2"
"06073019105","06","PFOS","5","2","2"
"06073019105","06","TOTAL_PFAS","65","2","2"
