"tract_geoid","state_fips","county_fips","tract_code","total_population","total_population_moe","race_ethnicity_total","white_non_hispanic","black_non_hispanic","aian_non_hispanic","asian_non_hispanic","nhpi_non_hispanic","other_race_non_hispanic","multiracial_non_hispanic","hispanic_or_latino","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","asian_non_hispanic_pct","hispanic_or_latino_pct","median_household_income","median_household_income_moe","reported_pfas_observation_count","primary_pfas_average","pfoa_observation_count","station_count","primary_pfas_observation_count","pfos_observation_count","measurement_record_count","pfoa_average","total_pfas_average","reported_pfas_average","pfos_average","total_pfas_observation_count","primary_pfas_measure"
"06001400100","06","001","400100","3132","449","3132","2051","156","0","544","0","25","142","214","1081","34.514687100894","65.485312899106","4.98084291187739","17.3690932311622","6.83269476372925","250001",,"0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400200","06","001","400200","2203","234","2203","1428","45","19","274","0","8","227","202","775","35.1793009532456","64.8206990467544","2.04266908760781","12.437585111212","9.16931457103949","208438","35560","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400300","06","001","400300","5990","653","5990","3486","518","22","475","0","0","918","571","2504","41.8030050083472","58.1969949916528","8.64774624373957","7.92988313856427","9.53255425709516","176618","34769","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400400","06","001","400400","4399","614","4399","2711","337","0","517","0","29","296","509","1688","38.3723573539441","61.6276426460559","7.66083200727438","11.7526710616049","11.5708115480791","165134","20483","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400500","06","001","400500","3579","710","3579","1646","757","3","263","7","34","233","636","1933","54.0094998602962","45.9905001397038","21.1511595417714","7.3484213467449","17.7703269069573","96641","45132","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400600","06","001","400600","2052","320","2052","969","443","6","138","0","53","232","211","1083","52.7777777777778","47.2222222222222","21.588693957115","6.72514619883041","10.2826510721248","139238","23983","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400700","06","001","400700","4576","713","4576","2061","1200","67","528","0","0","298","422","2515","54.9606643356643","45.0393356643357","26.2237762237762","11.5384615384615","9.22202797202797","127083","28266","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400800","06","001","400800","4548","545","4548","2209","363","0","648","9","100","320","899","2339","51.429199648197","48.570800351803","7.98153034300792","14.2480211081794","19.7669305189094","145978","34675","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001400900","06","001","400900","2855","494","2855","962","863","0","303","0","0","307","420","1893","66.3047285464098","33.6952714535902","30.2276707530648","10.6129597197898","14.7110332749562","115673","44050","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001401000","06","001","401000","6361","953","6361","1692","2462","0","377","31","217","729","853","4669","73.400408740764","26.599591259236","38.7046061939947","5.92674107844678","13.409841219934","136728","26870","0",,"0","0","0","0","0",,,,,"0","PFOA"
