Site code	Site type	Sample date (yyyymmdd)	11Cl-PF3OUDS	4:2FTS	6:2FTS	8:2FTS	9Cl-PF3ONS	FBSA	FHx-SA	FOSA	GenX	NaDONA	N-EtFOSAA linear	N-EtFOSA-M	N-MeFOSAA linear	N-MeFOSA-M	PFBA	PFBS	PFDA	PFDoA	PFDS	PFHpA	PFHpS	PFHxA	PFHxS Branched	PFHxS Linear	PFNA	PFNS	PFOA	PFOS Branched	PFOS Linear	PFPeA	PFPeS	PFTeDA	PFTrDA	PFUnDA
AK_1_Priv	Private supply	20210823	<4.8	<9.5	<19.2	<9.7	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<20.2	<7.7	<20.2	<11.4	<4.5	<2.0	<5.1	<4.9	<10.1	<4.8	<10.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<1.9	<5.1	<5.1	<2.0
AK_10_Pub	Public supply	20220107	<47.6	<17.5	<52.4	<19.1	<18.8	<101	<38.9	<15.6	<50.5	<1.9	<39.1	<162	<15.4	<123	<16.2	<10.1	<20.6	<17.8	<48.7	<43.1	<18.5	<39.8	<22.8	<11.4	<7.8	<16.1	<10.1	<19.8	<14.3	<12.8	<12.5	<24.7	<15.6	<16.2
AK_10_Pub dup	Public supply	20220107	<47.6	<17.5	<52.4	<19.1	<18.8	<101	<38.9	<15.6	<50.5	<1.9	<39.1	<162	<15.4	<123	<16.2	<10.1	<20.6	<17.8	<48.7	<43.1	<18.5	<39.8	<22.8	<11.4	<7.8	<16.1	<10.1	<19.8	<14.3	<12.8	<12.5	<24.7	<15.6	<16.2
AK_11_Pub	Public supply	20211213	<47.6	<17.5	<52.4	<19.1	<18.8	<101	<38.9	<15.6	<50.5	<1.9	<39.1	<162	<15.4	<123	<16.2	<10.1	<20.6	<17.8	<48.7	<43.1	<18.5	<39.8	<22.8	<11.4	<7.8	<16.1	<10.1	<19.8	<14.3	<12.8	<12.5	<24.7	<15.6	<16.2
AK_12_Pub	Public supply	20210921	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
AK_13_Pub	Public supply	20210920	<9.5	<18.9	40.1	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	32.6	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
AK_14_Pub	Public supply	20210921	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
AK_15_Pub	Public supply	20210916	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
AK_16_Pub	Public supply	20210927	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<5.1	<7.7	<5.1	<10.1	<1.8	<5.1	<5.1	<4.9	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<4.8	<5.1	<10.1	<2.0
AK_18_Priv	Private supply	20211212	<4.8	<1.9	<9.6	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<10.1	<7.7	<20.2	<10.1	<4.5	<2.0	<5.1	<9.8	<10.1	<4.8	<10.1	<8.8	<1.5	<2.0	<9.7	<2.0	<19.8	<3.7	<2.0	<4.8	<5.1	<5.1	<5.1
AK_2_Priv	Private supply	20210811	<47.6	<9.5	<19.2	<9.7	<47.1	<50.5	<101	<20.2	<10.1	<1.9	<15.7	<20.2	<15.4	<20.2	<20.2	<9.0	<10.1	<10.1	<19.5	<20.2	<9.6	<20.2	<17.5	<7.5	<5.1	<19.4	<5.1	<39.6	<14.8	<10.1	<9.5	<5.1	<10.1	<10.1
AK_3_Pub	Public supply	20210825	<4.8	<9.5	<19.2	<9.7	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<20.2	<7.7	<20.2	<5.1	<4.5	<2.0	<5.1	<4.9	<10.1	<4.8	<10.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<1.9	<5.1	<5.1	<2.0
AK_4_Pub	Public supply	20210811	<47.6	<9.5	<19.2	<9.7	<47.1	<50.5	<101	<20.2	<10.1	<1.9	<15.7	<20.2	<15.4	<20.2	<20.2	<9.0	<10.1	<10.1	<19.5	<20.2	<9.6	<20.2	<17.5	<7.5	<5.1	<19.4	<5.1	<39.6	<14.8	<10.1	<9.5	<5.1	<10.1	<10.1
AK_5_Priv	Private supply	20210831	<9.5	<4.7	<19.2	<9.7	<18.8	<50.5	<50.5	<20.2	<5.1	<1.9	<7.8	<10.1	<15.4	<20.2	<20.2	<1.8	<2.0	<5.1	<9.8	<5.1	<9.6	<5.1	<17.5	<1.5	<2.0	<4.9	<2.0	<19.8	<7.4	<2.0	<4.8	<5.1	<10.1	<5.1
AK_6_Pub	Public supply	20220120	<47.6	<17.5	<52.4	<19.1	<18.8	<101	<38.9	<15.6	<50.5	<1.9	<39.1	<162	<15.4	<123	<16.2	<10.1	<20.6	<17.8	<48.7	<43.1	<18.5	<39.8	<22.8	<11.4	<7.8	<16.1	<10.1	<19.8	<14.3	<12.8	<12.5	<24.7	<15.6	<16.2
AK_7_Pub	Public supply	20211015	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
AK_7_Pub dup	Public supply	20211015	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
AK_8_Pub	Public supply	20211202	<47.6	<17.5	<52.4	<19.1	<18.8	<101	<38.9	<15.6	<50.5	<1.9	<39.1	<162	<15.4	<123	<16.2	<10.1	<20.6	<17.8	<48.7	<43.1	<18.5	<39.8	<22.8	<11.4	<7.8	<16.1	<10.1	<19.8	<14.3	<12.8	<12.5	<24.7	<15.6	<16.2
AK_9_Pub	Public supply	20211009	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
