Site code	Site type	Sample datetime (yyyymmddHHMM)	11Cl-PF3OUDS	4:2FTS	6:2FTS	8:2FTS	9Cl-PF3ONS	FBSA	FHx-SA	FOSA	GenX	NaDONA	N-EtFOSAA linear	N-EtFOSA-M	N-MeFOSAA linear	N-MeFOSA-M	PFBA	PFBS	PFDA	PFDoA	PFDS	PFHpA	PFHpS	PFHxA	PFHxS Branched	PFHxS Linear	PFNA	PFNS	PFOA	PFOS Branched	PFOS Linear	PFPeA	PFPeS	PFTeDA	PFTrDA	PFUnDA
NJ_1_Priv	Private supply	202109270600	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	1.2	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	4.9	2.0	<9.7	E5.1	<19.8	5.8	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109270630	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	1.8	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.9	1.5	<9.7	E5.1	<19.8	5.1	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109271200	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	1.0	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.8	1.6	<9.7	E5.9	<19.8	6.6	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109271200	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	1.4	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.7	1.1	<9.7	E5.8	<19.8	5.7	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109271800	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<10.2	1.5	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	4.2	1.4	<9.7	E6.1	<19.8	6.5	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109272359	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	<4.5	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	4.0	1.3	<9.7	E5.1	<19.8	5.1	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109281800	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	2.0	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.1	1.4	<9.7	E5.7	<19.8	6.0	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109291800	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	2.1	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.6	1.3	<9.7	E6.0	<19.8	7.4	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202109301800	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	1.8	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.6	1.3	<9.7	E6.5	<19.8	<7.4	<5.1	<4.8	<5.1	<10.1	<5.1
NJ_1_Priv	Private supply	202110011800	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	<4.5	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	3.1	1.1	<9.7	E6.5	<19.8	7.1	<5.1	<4.8	<5.1	<10.1	<5.1
