NAWQA_ID,AGRI_12,NATU_12,URBA_12,N_LOAD,WSWT,FIRE_TRAIN,CEMT,CHEM ,CLEAN  ,CONS ,ELEC ,FURN_CARP,GLASS,INDU_GAS,LANDF ,METAL  ,MACH  ,MINE ,OILGAS,PAINT  ,NATDEF   ,PAPER  ,PETR  ,PLAS  ,TEXTILE,AIRNG,ARMNG,FIRE_ST,FRS,SUPER ,OILREF,AIRP
MIAMSUS1-01,74.10,21.80,4.10,58,5166,97271,4986,37220,63000,39878,34613,246660,34700,65818,13571,5977,10486,100387,242988,4986,62725,14436,7047,6371,30633,85255,7275,5279,368,40875,120274,9140
MIAMSUS1-02,90.50,6.40,3.20,64,1599,137857,34039,3545,2537,72969,2627,237123,31183,45456,7311,2627,2537,146446,188842,19231,25218,4796,33141,6147,40594,25090,19790,4790,2557,36219,78304,6111
MIAMSUS1-03,80.00,1.80,18.20,249,8286,148911,8684,12053,14013,66912,18222,262055,25170,22201,7090,3596,8016,138155,194463,12129,7462,26687,8612,5631,19810,7261,17133,2804,2956,19110,97923,7070
MIAMSUS1-04,32.70,0.00,67.30,140,2311,154435,28207,9197,7895,82458,2288,243275,44369,42674,6410,3259,6644,129583,192050,8345,14491,21507,29071,5070,34443,14541,3948,4029,1139,37800,95976,2885
MIAMSUS1-05,99.10,0.90,0.00,42,6023,121951,46666,12359,13911,70738,13134,226382,15764,55867,12658,4172,12693,154599,173469,35133,36621,12166,45280,20471,31283,40500,35719,7036,4451,37756,62520,10199
MIAMSUS1-06,57.30,17.30,25.50,180,6978,145374,11579,10531,12180,64551,17412,258963,28836,23997,9289,1834,10537,141763,198988,11760,9938,27132,10817,8451,24740,9696,17035,2316,822,18147,92929,3705
MIAMSUS1-07,97.70,0.00,2.30,161,4248,159036,21456,6682,7115,79641,5428,250301,37552,36667,8801,3496,4264,128825,189216,4024,7821,26177,23214,5292,27407,7921,3095,4031,3400,33206,99459,6649
MIAMSUS1-08,13.20,2.30,84.50,475,1977,127999,21821,4728,10907,42183,6793,270000,22731,11427,7373,1761,6829,161590,211068,7885,10347,12735,8800,1798,14546,36290,14181,1918,1773,8697,97114,5964
MIAMSUS1-09,86.80,11.40,1.80,60,2302,162825,20425,15999,19453,76618,12419,287775,12303,22198,12371,12742,19270,129761,176122,13106,20482,14797,11495,10813,11358,32149,12999,2777,1502,19546,125345,556
MIAMSUS1-10,34.50,9.10,56.40,182,3391,151261,43870,7467,7038,71750,16521,303251,23565,13409,11991,8245,8530,140906,197393,13497,6315,6251,10686,7010,21051,27191,11647,1693,709,19396,144785,6005
MIAMSUS1-11,9.50,0.00,90.50,226,963,126274,25080,9624,25308,96882,24169,316854,28140,17181,4671,1347,6612,129392,201490,19121,28737,25317,8346,6915,21547,34989,25087,1306,591,15357,174414,2403
MIAMSUS1-12,52.70,0.50,46.80,122,2289,150779,40583,9158,10510,65893,4515,302690,24415,8909,5828,2308,5763,152673,190996,8131,15845,3448,7580,4455,21911,33954,6109,1185,1617,16144,131202,3904
MIAMSUS1-13,86.80,0.50,12.70,299,3323,152079,26023,5325,3477,77528,3447,245009,42166,39319,1568,3477,4114,134200,195898,6019,12815,18722,25749,2255,33635,12780,5524,2248,2257,33516,92402,3952
MIAMSUS1-14,19.10,25.00,55.90,50,3510,150530,35975,5132,13758,65007,4304,300897,19805,13208,5298,1402,10326,150152,190173,12529,20404,1733,11584,4066,23246,37163,9844,1031,1009,11871,128077,3808
MIAMSUS1-15,0.90,45.00,54.10,382,2622,124303,33286,7684,9485,113229,1379,331576,6619,24253,9980,6683,7136,132667,153675,8825,21445,24863,9297,8610,21499,18885,5872,1465,2094,9223,164376,7275
