program,analyte,method,mrl_ng_l,analytical_records,systems,sample_keys,point_date_groups,analytes,detected_records,systems_with_detections,first_collection,last_collection
UCMR3,PFBS,EPA 537,90.00,421,65,421,421,1,0,0,2013-01-16,2015-12-21
UCMR3,PFHpA,EPA 537,10.00,421,65,421,421,1,0,0,2013-01-16,2015-12-21
UCMR3,PFHxS,EPA 537,30.00,421,65,421,421,1,0,0,2013-01-16,2015-12-21
UCMR3,PFNA,EPA 537,20.00,421,65,421,421,1,0,0,2013-01-16,2015-12-21
UCMR3,PFOA,EPA 537,20.00,421,65,421,421,1,0,0,2013-01-16,2015-12-21
UCMR3,PFOS,EPA 537,40.00,421,65,421,421,1,0,0,2013-01-16,2015-12-21
UCMR5,11Cl-PF3OUdS,EPA 533,5.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,4:2 FTS,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,6:2 FTS,EPA 533,5.000,733,127,733,732,1,2,2,2023-01-09,2026-06-08
UCMR5,8:2 FTS,EPA 533,5.000,733,127,733,732,1,1,1,2023-01-09,2026-06-08
UCMR5,9Cl-PF3ONS,EPA 533,2.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,ADONA,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,HFPO-DA,EPA 533,5.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,NEtFOSAA,EPA 537.1,5.000,735,127,735,735,1,0,0,2023-01-09,2026-06-08
UCMR5,NFDHA,EPA 533,20.00,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,NMeFOSAA,EPA 537.1,6.000,735,127,735,735,1,0,0,2023-01-09,2026-06-08
UCMR5,PFBA,EPA 533,5.000,732,127,732,731,1,3,2,2023-01-09,2026-06-08
UCMR5,PFBS,EPA 533,3.000,732,127,732,731,1,17,6,2023-01-09,2026-06-08
UCMR5,PFDA,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFDoA,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFEESA,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFHpA,EPA 533,3.000,733,127,733,732,1,5,3,2023-01-09,2026-06-08
UCMR5,PFHpS,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFHxA,EPA 533,3.000,733,127,733,732,1,6,4,2023-01-09,2026-06-08
UCMR5,PFHxS,EPA 533,3.000,732,127,732,731,1,16,7,2023-01-09,2026-06-08
UCMR5,PFMBA,EPA 533,3.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFMPA,EPA 533,4.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFNA,EPA 533,4.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
UCMR5,PFOA,EPA 533,4.000,733,127,733,732,1,7,4,2023-01-09,2026-06-08
UCMR5,PFOS,EPA 533,4.000,732,127,732,731,1,26,9,2023-01-09,2026-06-08
UCMR5,PFPeA,EPA 533,3.000,733,127,733,732,1,7,4,2023-01-09,2026-06-08
UCMR5,PFPeS,EPA 533,4.000,733,127,733,732,1,2,1,2023-01-09,2026-06-08
UCMR5,PFTA,EPA 537.1,8.000,735,127,735,735,1,0,0,2023-01-09,2026-06-08
UCMR5,PFTrDA,EPA 537.1,7.000,735,127,735,735,1,0,0,2023-01-09,2026-06-08
UCMR5,PFUnA,EPA 533,2.000,733,127,733,732,1,0,0,2023-01-09,2026-06-08
