program,pws_id,pws_name,size_class,facility_id,facility_name,water_type,sample_point_id,sample_point_type,collection_date,sample_id,sample_event_code,analyte,method,result_status,result_sign,result_ng_l,mrl_ng_l,original_result,original_units,original_mrl,source_file,source_csv_line
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-04-10,201304110494AM,SE1,PFOA,EPA 537,below_mrl,<,,20.00,,µg/L,0.02,data/raw/epa/ucmr3-oregon-all-analytes.csv,5
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-04-10,201304110494AM,SE1,PFOS,EPA 537,below_mrl,<,,40.00,,µg/L,0.04,data/raw/epa/ucmr3-oregon-all-analytes.csv,6
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-04-10,201304110494AM,SE1,PFNA,EPA 537,below_mrl,<,,20.00,,µg/L,0.02,data/raw/epa/ucmr3-oregon-all-analytes.csv,7
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-04-10,201304110494AM,SE1,PFHxS,EPA 537,below_mrl,<,,30.00,,µg/L,0.03,data/raw/epa/ucmr3-oregon-all-analytes.csv,8
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-04-10,201304110494AM,SE1,PFHpA,EPA 537,below_mrl,<,,10.00,,µg/L,0.01,data/raw/epa/ucmr3-oregon-all-analytes.csv,9
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-04-10,201304110494AM,SE1,PFBS,EPA 537,below_mrl,<,,90.00,,µg/L,0.09,data/raw/epa/ucmr3-oregon-all-analytes.csv,10
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-07-22,201307250128AM,SE2,PFBS,EPA 537,below_mrl,<,,90.00,,µg/L,0.09,data/raw/epa/ucmr3-oregon-all-analytes.csv,25
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-07-22,201307250128AM,SE2,PFHxS,EPA 537,below_mrl,<,,30.00,,µg/L,0.03,data/raw/epa/ucmr3-oregon-all-analytes.csv,35
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-07-22,201307250128AM,SE2,PFNA,EPA 537,below_mrl,<,,20.00,,µg/L,0.02,data/raw/epa/ucmr3-oregon-all-analytes.csv,37
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-07-22,201307250128AM,SE2,PFHpA,EPA 537,below_mrl,<,,10.00,,µg/L,0.01,data/raw/epa/ucmr3-oregon-all-analytes.csv,38
UCMR3,OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EP,2013-07-22,201307250128AM,SE2,PFOA,EPA 537,below_mrl,<,,20.00,,µg/L,0.02,data/raw/epa/ucmr3-oregon-all-analytes.csv,39
