program,pws_id,pws_name,analytical_records,systems,sample_keys,point_date_groups,analytes,detected_records,systems_with_detections,first_collection,last_collection
UCMR3,OR4100012,City of Albany,48,1,8,8,6,0,0,2013-04-10,2014-01-21
UCMR3,OR4100047,Ashland Water Department,24,1,4,4,6,0,0,2013-11-06,2014-08-06
UCMR3,OR4100073,Baker City,24,1,4,4,6,0,0,2013-02-13,2013-11-13
UCMR3,OR4100081,City of Beaverton,36,1,6,6,6,0,0,2013-01-16,2013-10-08
UCMR3,OR4100091,Avion Water Company,72,1,12,12,6,0,0,2014-09-17,2015-07-30
UCMR3,OR4100100,Bend Water Department,132,1,22,22,6,0,0,2013-12-10,2014-10-20
UCMR3,OR4100130,City of Boardman,12,1,2,2,6,0,0,2013-03-20,2013-09-24
UCMR3,OR4100157,Canby Utility,24,1,4,4,6,0,0,2014-03-04,2014-12-09
UCMR3,OR4100178,City of Central Point,24,1,4,4,6,0,0,2015-02-17,2015-11-04
UCMR3,OR4100187,Clackamas River Water - Clackamas,24,1,4,4,6,0,0,2014-11-24,2015-08-24
UCMR3,OR4100205,Coos Bay North Bend Water Board,24,1,4,4,6,0,0,2014-08-04,2015-05-12
UCMR3,OR4100218,City of Cornelius,48,1,8,8,6,0,0,2013-07-22,2014-04-08
UCMR3,OR4100225,City of Corvallis,48,1,8,8,6,0,0,2013-03-13,2013-12-19
UCMR3,OR4100226,Childrens Farm Home Campus,12,1,2,2,6,0,0,2014-03-19,2014-09-24
UCMR3,OR4100248,City of Dallas,24,1,4,4,6,0,0,2013-12-05,2014-09-04
UCMR3,OR4100287,Eugene Water & Electric Board,24,1,4,4,6,0,0,2013-03-13,2013-12-16
UCMR3,OR4100305,City of Forest Grove,48,1,8,8,6,0,0,2013-04-17,2014-01-22
UCMR3,OR4100321,City of Gladstone,18,1,3,3,6,0,0,2015-05-26,2015-12-09
UCMR3,OR4100342,City of Grants Pass,24,1,4,4,6,0,0,2014-07-17,2015-04-13
UCMR3,OR4100357,Gresham PWO - Water Section,24,1,4,4,6,0,0,2014-02-18,2014-11-18
UCMR3,OR4100372,City of Hermiston,72,1,12,12,6,0,0,2014-05-12,2015-02-18
UCMR3,OR4100443,Klamath Falls Water Department,84,1,14,14,6,0,0,2014-05-27,2014-11-18
UCMR3,OR4100453,City of La Grande,60,1,10,10,6,0,0,2015-03-11,2015-10-07
UCMR3,OR4100457,Lake Oswego Municipal Water,24,1,4,4,6,0,0,2014-04-08,2015-01-19
UCMR3,OR4100473,City of Lebanon,24,1,4,4,6,0,0,2013-07-15,2014-04-07
UCMR3,OR4100483,Lincoln City Water District,24,1,4,4,6,0,0,2013-01-22,2013-10-16
UCMR3,OR4100497,McMinnville Water & Light,24,1,4,4,6,0,0,2013-07-17,2014-04-09
UCMR3,OR4100500,City of Madras,12,1,2,2,6,0,0,2015-05-12,2015-11-16
UCMR3,OR4100501,Deschutes Valley Water District,12,1,2,2,6,0,0,2014-03-26,2014-09-23
UCMR3,OR4100513,Medford Water Commission,24,1,4,4,6,0,0,2013-03-11,2014-05-29
UCMR3,OR4100528,City of Milwaukie,48,1,8,8,6,0,0,2013-04-22,2013-10-16
