PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,"1,3-butadiene",0.1,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,Halon 1011,0.06,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,"1,2,3-trichloropropane",0.03,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,PFOA,0.02,µg/L,EPA 537,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,PFOS,0.04,µg/L,EPA 537,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,PFNA,0.02,µg/L,EPA 537,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,PFHxS,0.03,µg/L,EPA 537,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,PFHpA,0.01,µg/L,EPA 537,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,PFBS,0.09,µg/L,EPA 537,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,molybdenum,1,µg/L,EPA 200.8,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,chromium-6,0.03,µg/L,EPA 218.7,=,0.0370,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,"1,1-dichloroethane",0.03,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,bromomethane,0.2,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,cobalt,1,µg/L,EPA 200.8,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,strontium,0.3,µg/L,EPA 200.8,=,22,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,chromium,0.2,µg/L,EPA 200.8,=,0.47,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,chlorate,20,µg/L,EPA 300.1,=,44,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,vanadium,0.2,µg/L,EPA 200.8,=,0.51,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,"1,4-dioxane",0.07,µg/L,EPA 522,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,chloromethane,0.2,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,4/10/2013,201304110494AM,HCFC-22,0.08,µg/L,EPA 524.3,<,,SE1,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,chloromethane,0.2,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,chromium,0.2,µg/L,EPA 200.8,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,PFBS,0.09,µg/L,EPA 537,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,HCFC-22,0.08,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,Halon 1011,0.06,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,chlorate,20,µg/L,EPA 300.1,=,98,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,vanadium,0.2,µg/L,EPA 200.8,=,0.69,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,cobalt,1,µg/L,EPA 200.8,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,"1,4-dioxane",0.07,µg/L,EPA 522,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,strontium,0.3,µg/L,EPA 200.8,=,23,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,"1,3-butadiene",0.1,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,bromomethane,0.2,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,PFHxS,0.03,µg/L,EPA 537,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,"1,1-dichloroethane",0.03,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,PFNA,0.02,µg/L,EPA 537,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,PFHpA,0.01,µg/L,EPA 537,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,PFOA,0.02,µg/L,EPA 537,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,chromium-6,0.03,µg/L,EPA 218.7,=,0.0330,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,molybdenum,1,µg/L,EPA 200.8,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,PFOS,0.04,µg/L,EPA 537,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,7/22/2013,201307250128AM,"1,2,3-trichloropropane",0.03,µg/L,EPA 524.3,<,,SE2,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,PFOA,0.02,µg/L,EPA 537,<,,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,bromomethane,0.2,µg/L,EPA 524.3,<,,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,PFBS,0.09,µg/L,EPA 537,<,,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,"1,3-butadiene",0.1,µg/L,EPA 524.3,<,,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,HCFC-22,0.08,µg/L,EPA 524.3,<,,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,strontium,0.3,µg/L,EPA 200.8,=,23,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,chromium-6,0.03,µg/L,EPA 218.7,=,0.0380,SE3,AM,10,OR,
OR4100012,City of Albany,L,00003,Vine St. TP,SW,EP001,EPTDS from Vine St. TP,EP,06733,MR001,10/28/2013,201310300096AM,molybdenum,1,µg/L,EPA 200.8,<,,SE3,AM,10,OR,
