NAWQA_ID,STATE,AQUIFER,WELLTYPE,DEPTH
MIAMSUS1-01,Indiana,Glacial  ,Domestic,19.20
MIAMSUS1-02,Ohio,Glacial  ,Domestic,13.72
MIAMSUS1-03,Ohio,Glacial  ,Domestic,19.81
MIAMSUS1-04,Ohio,Glacial  ,Domestic,6.40
MIAMSUS1-05,Ohio,Glacial  ,Domestic,11.89
MIAMSUS1-06,Ohio,Glacial  ,Domestic,9.75
MIAMSUS1-07,Ohio,Glacial  ,Domestic,18.29
MIAMSUS1-08,Ohio,Glacial  ,Domestic,30.78
MIAMSUS1-09,Ohio,Glacial  ,Domestic,18.29
MIAMSUS1-10,Ohio,Glacial  ,Domestic,28.04
MIAMSUS1-11,Ohio,Glacial  ,Domestic,20.73
MIAMSUS1-12,Ohio,Glacial  ,Domestic,11.58
MIAMSUS1-13,Ohio,Glacial  ,Domestic,17.07
MIAMSUS1-14,Ohio,Glacial  ,Domestic,15.85
MIAMSUS1-15,Ohio,Glacial  ,Domestic,24.38
MIAMSUS1-16,Ohio,Glacial  ,Domestic,12.19
MIAMSUS1-17,Ohio,Glacial  ,Domestic,22.86
MIAMSUS1-18,Ohio,Glacial  ,Domestic,21.34
MIAMSUS1-19,Ohio,Glacial  ,Domestic,12.50
MIAMSUS1-20,Ohio,Glacial  ,Domestic,26.52
MIAMSUS1-22,Ohio,Glacial  ,Domestic,14.63
MIAMSUS1-23,Ohio,Glacial  ,Domestic,12.19
MIAMSUS1-24,Ohio,Glacial  ,Domestic,30.48
MIAMSUS1-25,Ohio,Glacial  ,Domestic,23.77
MISESUS4-01,Mississippi,Mississippi Embayment,Other or unknown,99.06
MISESUS4-02,Mississippi,Mississippi Embayment,Domestic,63.40
MISESUS4-03,Mississippi,Mississippi Embayment,Public supply,135.94
MISESUS4-04,Mississippi,Mississippi Embayment,Domestic,48.77
MISESUS4-05,Mississippi,Mississippi Embayment,Domestic,15.24
MISESUS4-06,Mississippi,Mississippi Embayment,Monitoring,67.06
MISESUS4-07,Mississippi,Mississippi Embayment,Domestic,36.58
MISESUS4-08,Mississippi,Mississippi Embayment,Domestic,22.56
MISESUS4-09,Mississippi,Mississippi Embayment,Other or unknown,53.04
MISESUS4-10,Mississippi,Mississippi Embayment,Other or unknown,160.02
MISESUS4-11,Mississippi,Mississippi Embayment,Public supply,286.51
MISESUS4-12,Tennessee,Mississippi Embayment,Public supply,53.04
MISESUS4-13,Tennessee,Mississippi Embayment,Other or unknown,165.81
MISESUS4-14,Tennessee,Mississippi Embayment,Public supply,95.71
MISESUS4-15,Tennessee,Mississippi Embayment,Other or unknown,41.76
MISESUS4-16,Tennessee,Mississippi Embayment,Domestic,42.67
MISESUS4-17,Tennessee,Mississippi Embayment,Public supply,92.96
